criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
gini,15,50,20,,balanced,0.0001,0.5,0.9957507384604435,0.9817376367417051,0.9966225518089539,0.9891240982292502,0.9995953206273662,0.9984354656466884
entropy,10,2,1,,,0.0,0.5,0.9947044378803516,0.9920332782410073,0.9805613172047946,0.9862639391477734,0.9998137046014941,0.9990720375312214
entropy,10,50,1,,,0.0,0.5,0.99469376134382,0.9920145595008171,0.9805246058114135,0.9862361184192306,0.9998052136199465,0.9990787419771044
entropy,10,2,20,,,0.0,0.5,0.9946510551976939,0.99192140548973,0.9803961159345803,0.9861250865451189,0.999801014178259,0.9990485179579456
entropy,10,50,20,,,0.0,0.5,0.9946510551976939,0.99192140548973,0.9803961159345803,0.9861250865451189,0.999801014178259,0.9990485179579456
entropy,10,2,1,,,0.0001,0.5,0.9945941136695257,0.9917911002154371,0.9802309146643661,0.985977123971825,0.9997447575104207,0.9989551194510944
entropy,10,2,20,,,0.0001,0.5,0.9945941136695257,0.9917911002154371,0.9802309146643661,0.985977123971825,0.9997447575104207,0.9989551194510944
entropy,10,50,1,,,0.0001,0.5,0.9945941136695257,0.9917911002154371,0.9802309146643661,0.985977123971825,0.9997447575104207,0.9989551194510944
entropy,10,50,20,,,0.0001,0.5,0.9945941136695257,0.9917911002154371,0.9802309146643661,0.985977123971825,0.9997447575104207,0.9989551194510944
gini,10,2,1,,,0.0,0.5,0.9940424926153956,0.9926850659650301,0.9764679968428202,0.9845097531184069,0.9976155250571601,0.9952891986875365
gini,10,50,1,,,0.0,0.5,0.9940389337698851,0.9926849294618199,0.9764496411461298,0.9845003562604681,0.9976180212701609,0.995313541225864
gini,10,2,20,,,0.0,0.5,0.9939962276237588,0.9926465098917506,0.976266084179225,0.9843881583209173,0.9976388724505221,0.9953743943697955
gini,10,50,20,,,0.0,0.5,0.9939926687782483,0.9926279838002277,0.976266084179225,0.9843790486766612,0.9976387511386302,0.9953737970785932
gini,10,2,1,,,0.0001,0.5,0.9935691661624969,0.9904831079822699,0.9762110170891536,0.9832952770099748,0.9975510323086129,0.9948184703311526
gini,10,2,20,,,0.0001,0.5,0.9935691661624969,0.9904831079822699,0.9762110170891536,0.9832952770099748,0.9975510323086129,0.9948184703311526
gini,10,50,1,,,0.0001,0.5,0.9935691661624969,0.9904831079822699,0.9762110170891536,0.9832952770099748,0.9975510323086129,0.9948184703311526
gini,10,50,20,,,0.0001,0.5,0.9935691661624969,0.9904831079822699,0.9762110170891536,0.9832952770099748,0.9975510323086129,0.9948184703311526
entropy,10,2,1,,balanced,0.0,0.5,0.9916794191964127,0.9605688543414893,0.9980542961508104,0.9789528644989377,0.9996347067170092,0.9976563488411478
entropy,10,50,1,,balanced,0.0,0.5,0.9916687426598811,0.9605179479932165,0.9980542961508104,0.9789264270346665,0.9996369916674165,0.9976832830287228
gini,10,2,1,,balanced,0.0,0.5,0.9916438307413076,0.9600416526941881,0.9984581214780007,0.978873112706725,0.9990694689890139,0.9933451061658883
entropy,10,50,20,,balanced,0.0,0.5,0.9916438307413076,0.9604154522812781,0.9980359404541199,0.9788643646707234,0.9996072504404363,0.9976160727749767
entropy,10,2,20,,balanced,0.0,0.5,0.9916438307413076,0.9604154522812781,0.9980359404541199,0.9788643646707234,0.9996072200111674,0.9976159630303162
gini,10,50,1,,balanced,0.0,0.5,0.9916295953592654,0.9599738806628664,0.9984581214780007,0.9788378830685069,0.9990872991223945,0.9934543852658464
gini,10,2,20,,balanced,0.0,0.5,0.9916153599772234,0.9599385842613346,0.9984214100846197,0.9788018930737256,0.9991018873028377,0.9934620589936317
gini,10,50,20,,balanced,0.0,0.5,0.9916153599772234,0.9599385842613346,0.9984214100846197,0.9788018930737256,0.9991018604797006,0.9934619682660518
entropy,10,2,1,,balanced,0.0001,0.5,0.9916046834406919,0.9603264325584682,0.9979258062739771,0.9787651564933253,0.999608515098676,0.9975576791215488
entropy,10,2,20,,balanced,0.0001,0.5,0.9916046834406919,0.9603264325584682,0.9979258062739771,0.9787651564933253,0.9996084984051224,0.9975575927852258
entropy,10,50,1,,balanced,0.0001,0.5,0.9916046834406919,0.9603264325584682,0.9979258062739771,0.9787651564933253,0.9996084984051224,0.9975575927852258
entropy,10,50,20,,balanced,0.0001,0.5,0.9916046834406919,0.9603264325584682,0.9979258062739771,0.9787651564933253,0.9996084984051224,0.9975575927852258
gini,10,2,1,,balanced,0.0001,0.5,0.9913057404178085,0.9589845817309388,0.9978340277905248,0.9780236585256151,0.9988485274571277,0.9926623450019681
gini,10,2,20,,balanced,0.0001,0.5,0.9913057404178085,0.9589845817309388,0.9978340277905248,0.9780236585256151,0.9988485274571277,0.9926623450019681
gini,10,50,1,,balanced,0.0001,0.5,0.9913057404178085,0.9589845817309388,0.9978340277905248,0.9780236585256151,0.9988485274571277,0.9926623450019681
gini,10,50,20,,balanced,0.0001,0.5,0.9913057404178085,0.9589845817309388,0.9978340277905248,0.9780236585256151,0.9988485274571277,0.9926623450019681
