experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,input_noise_std,input_dropout,global_pooling,gradient_clip_norm,conv_channels,kernel_size,fc_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
CNN-20e-tune,easy,Validation,0.9802235349665346,0.9066638035931572,0.9946799112664167,0.9486346573303502,0.9975912551586842,0.9891485737883842,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,18,13,0.048389255785890754,True,True,32,0.9486346573303502
CNN-20e-tune,easy,Validation,0.9808975278517648,0.9115551788194132,0.9922259957988967,0.9501814148478184,0.9978199541608384,0.9901300523712167,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,45,40,0.044856637957211135,True,True,33,0.9501814148478184
CNN-20e-tune,easy,Validation,0.9807353370505062,0.9108307803207785,0.9922063644751565,0.9497787257232522,0.9977784670945409,0.9899373042498073,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,49,44,0.04606800043892399,True,True,34,0.9497787257232522
CNN-20e-tune,easy,Validation,0.9803352664074017,0.9074150378903241,0.9943461787628339,0.9488937597182413,0.997629351039301,0.9892730776087957,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,25,20,0.04447678724192513,True,True,35,0.9488937597182413
CNN-20e-tune,easy,Validation,0.9796901074423953,0.904240131344136,0.994719173913897,0.9473241411544754,0.9975643875403549,0.9890215721673069,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,24,19,0.04708239002249165,True,True,36,0.9473241411544754
CNN-20e-tune,easy,Validation,0.979376538559962,0.9071916142859716,0.988829776791849,0.9462531231801018,0.9971900569666569,0.9871313564904719,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,41,36,0.053153652828820695,True,True,37,0.9462531231801018
CNN-20e-tune,easy,Validation,0.9755740653304548,0.8906067574739076,0.9883586250220853,0.9369399547776568,0.9958523381520183,0.9802840718793985,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,26,21,0.06564385753806593,True,True,38,0.9369399547776568
CNN-20e-tune,easy,Validation,0.980180284086199,0.9228235381695016,0.9734584503033039,0.9474649623111977,0.9976147032509233,0.9892943325378406,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,28,23,0.046634560392202665,True,True,39,0.9474649623111977
CNN-20e-tune,easy,Validation,0.9796504608020876,0.9137178245857616,0.9818802881878325,0.9465735536251633,0.9973163348551402,0.9880636343623326,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,15,10,0.05148718460825173,True,True,40,0.9465735536251633
CNN-20e-tune,easy,Validation,0.9803749130477093,0.9099740465719847,0.9911659043169281,0.9488362478035763,0.9975300113168334,0.9887144222411443,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,39,34,0.04839537739435239,True,True,41,0.9488362478035763
CNN-20e-tune,easy,Validation,0.9804325808881569,0.9112597144406289,0.9898113429788571,0.9489126650293124,0.997425414795054,0.9882566360055145,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,63,58,0.04921686922068633,True,True,42,0.9489126650293124
CNN-20e-tune,easy,Validation,0.9803821215277653,0.9107175098400317,0.9902236007774005,0.9488079003056666,0.997712063954787,0.98962713622608,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[64, 128]",3,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,37,32,0.04450585090692195,True,True,43,0.9488079003056666
