experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2
AE-13m,medium,Test,0.8533381970888644,0.9097084980237155,0.2703818937746083,0.41686417953743077,0.9152412067852465,0.766958688049164,0.5,True,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,52,42,0.2627523119364852,f1,200,False,False
AE-14m,medium,Validation,0.84941456991352,0.8297733926054429,0.28095229354430146,0.41977374014398355,0.9042716675139122,0.7171732305134635,0.5,True,False,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,19,9,0.4427463793331471,f1,200,False,False
AE-14m,medium,Test,0.8491601124595182,0.8295906687741865,0.2793854456345164,0.41799918984421663,0.9039151818546804,0.717036237025461,0.5,True,False,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,19,9,0.4427463793331471,f1,200,False,False
AE-15m,medium,Validation,0.8265988113455995,0.9735066644726016,0.10859230162080802,0.19538939163749258,0.8546661097633439,0.7038779336290147,0.5,True,False,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,51,41,0.020122908911365114,f1,200,False,False
AE-15m,medium,Test,0.8269475782056301,0.9738482713950287,0.11039217305909671,0.1983051406337587,0.8542061173427585,0.7021622519461387,0.5,True,False,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,51,41,0.020122908911365114,f1,200,False,False
AE-16m,medium,Validation,0.8389124168119861,0.9506112469437653,0.17841737183134787,0.3004451038575668,0.9037239634871662,0.7658272857487698,0.5,True,False,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,80,70,0.02950263859312392,f1,200,False,False
AE-16m,medium,Test,0.8390974767785331,0.9495900247440687,0.1796304964343732,0.3021116325018523,0.9027521773351079,0.7640543008977188,0.5,True,False,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,80,70,0.02950263859312392,f1,200,False,False
AE-17m,medium,Validation,0.8778675397700986,0.8845317566278847,0.42563189485856934,0.5747143529878306,0.8810395496225301,0.7162416440496389,0.5,True,True,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,109,99,0.14406774754327895,f1,200,False,False
AE-17m,medium,Test,0.8784031460194313,0.8861700509544452,0.4277742595702892,0.5770118784547486,0.8819928763267912,0.7190811574025374,0.5,True,True,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,109,99,0.14406774754327895,f1,200,False,False
AE-18m,medium,Validation,0.880227054343571,0.8419825264402548,0.47054828466014426,0.6037091551368855,0.8719294582638644,0.7128840369161318,0.5,True,True,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,44,34,0.3960664056346243,f1,200,False,False
AE-18m,medium,Test,0.8809334851774084,0.8449622579586479,0.4725901043530934,0.6061554942111985,0.8729649995105835,0.7159143106423679,0.5,True,True,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,44,34,0.3960664056346243,f1,200,False,False
AE-19m,medium,Validation,0.8878180718175024,0.9591583663346533,0.440132895244039,0.6033871008329349,0.8158968990729798,0.67688419722237,0.5,True,True,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,64,54,0.02171058355600981,f1,200,False,False
AE-19m,medium,Test,0.888310971920709,0.9592181659110793,0.44275264553906585,0.6058562377157785,0.8156911024486959,0.6780226307962209,0.5,True,True,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,64,54,0.02171058355600981,f1,200,False,False
AE-20m,medium,Validation,0.8883768105626535,0.9493739793140991,0.44817269039446395,0.6089005823160467,0.8406420836689255,0.7047460317717161,0.5,True,True,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,69,59,0.030641901221965133,f1,200,False,False
AE-20m,medium,Test,0.8885832236022634,0.9487904553465941,0.4495993832429307,0.6100953994071786,0.8425840941341377,0.7075847822187179,0.5,True,True,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,69,59,0.030641901221965133,f1,200,False,False
AE-21m,medium,Validation,0.848524858535891,0.9140375260597637,0.2414324785697241,0.381971569211111,0.9252049133440352,0.762470653296287,0.5,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,35,25,0.30431729374127514,f1,200,False,False
AE-21m,medium,Test,0.8477899569379693,0.9070713391739674,0.23946143891626973,0.37889646459145665,0.924372176474537,0.7596763782983683,0.5,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,35,25,0.30431729374127514,f1,200,False,False
AE-22m,medium,Validation,0.8533221822840671,0.8531040357789372,0.294113328071367,0.4374223666070624,0.9035954710171595,0.7502121960157432,0.5,True,True,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,26,16,0.4271633367634504,f1,200,False,False
AE-22m,medium,Test,0.8541033488736254,0.8573359482667232,0.29689694099507147,0.4410555665387316,0.9035213477812982,0.7514491822900092,0.5,True,True,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,26,16,0.4271633367634504,f1,200,False,False
AE-23m,medium,Validation,0.8439659774369195,0.9776340609000269,0.1997834027790525,0.33176857891849054,0.8564225970852586,0.7145430934473281,0.5,True,True,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,80,70,0.017825944888381372,f1,200,False,False
AE-23m,medium,Test,0.8442916118011317,0.9777728285077951,0.2014647980395936,0.33409179115267834,0.8564850611017425,0.7141734407286616,0.5,True,True,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,80,70,0.017825944888381372,f1,200,False,False
AE-24m,medium,Validation,0.8280259083953165,0.9185477291270057,0.12399273114411058,0.21849174389080264,0.930877348738998,0.8020318457336335,0.5,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,70,60,0.03029687068666844,f1,200,False,False
AE-24m,medium,Test,0.8280063347450087,0.9197952218430034,0.12367264150077553,0.21802972323573908,0.9304746901833092,0.8011594506975558,0.5,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,70,60,0.03029687068666844,f1,200,False,False
AE-21m-tune,medium,Validation,0.929641624257091,0.8511563910078711,0.7721323812845317,0.809720885466795,0.9406219992251016,0.8459313013393499,0.09387484368816683,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,37,27,0.13970951921139255,f1,200,True,True
AE-24m-tune,medium,Validation,0.9252001850599666,0.8949505441325748,0.695882817232328,0.7829615861214374,0.9370014211357507,0.8520281927688121,0.12604770962916456,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",8,relu,none,False,0.0,mse,0.0005,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,146,136,0.010466891422538979,f1,200,True,True
AE-21m-final,medium,Validation,0.9295348588917756,0.8508528763076425,0.7718570458341746,0.809432146294514,0.9388310532886561,0.8474188332628112,0.08859891103739707,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,True,0.01,0.0001,auto,True,10,0.0001,39,29,0.25928153745643984,f1,200,True,True
AE-21m-final,medium,Test,0.9288230897896722,0.8487502908064696,0.7701203226961095,0.807525743431816,0.9386686900854946,0.8475106416594211,0.08859891103739707,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,True,0.01,0.0001,auto,True,10,0.0001,39,29,0.25928153745643984,f1,200,True,True
